word,category,description,suggested_repetitions
ACTIVE,Weight Loss & Body Image,A motivational word for movement and exercise.,9
STRONG BODY,Weight Loss & Body Image,Use during strength-focused fitness routines.,9
PORTION AWARE,Weight Loss & Body Image,Supports mindful portion sizes during meals.,9
CRAVING FREE,Weight Loss & Body Image,Use when working through food cravings.,9
MOVEMENT,Weight Loss & Body Image,A general word to encourage physical activity.,9
SELF-ACCEPTANCE,Weight Loss & Body Image,Supports a kind relationship with your body at any stage.,9
ENERGIZED BODY,Weight Loss & Body Image,Use to feel more capable of physical activity.,9
MINDFUL EATING,Weight Loss & Body Image,Use during meals to support awareness and pacing.,9
FIT,Weight Loss & Body Image,A short word for general fitness intentions.,9
STAMINA,Weight Loss & Body Image,Supports endurance during workouts or active days.,9
PROGRESS NOT PERFECTION,Weight Loss & Body Image,Use to stay motivated without harsh self-judgment.,9
FUEL WELL,Weight Loss & Body Image,Use before meals to focus on nourishment over restriction.,9
MOVE WITH JOY,Weight Loss & Body Image,Use to make physical activity feel less like a chore.,9
CREATE,Creativity & Inspiration,A foundational word for starting any creative project.,9
INSPIRE,Creativity & Inspiration,Use when seeking new ideas or motivation.,9
IMAGINE,Creativity & Inspiration,Supports open-ended brainstorming and idea generation.,9
ARTISTIC,Creativity & Inspiration,"Use before creative work like painting, music, or design.",9
ORIGINAL,Creativity & Inspiration,"Use when seeking fresh, non-derivative ideas.",9
FLOW IDEAS,Creativity & Inspiration,Supports a steady stream of ideas during creative sessions.,9
EXPRESS CREATIVELY,Creativity & Inspiration,Use when translating feelings into creative work.,9
BRAINSTORM,Creativity & Inspiration,A direct word for idea-generation sessions.,9
VISION,Creativity & Inspiration,Use when developing a long-term creative or personal vision.,9
PLAYFUL,Creativity & Inspiration,Supports lightness and experimentation in creative work.,9
BUILD,Creativity & Inspiration,Use during the construction or development phase of a project.,9
DESIGN,Creativity & Inspiration,Use before design-focused work or planning.,9
UNIQUE ANGLE,Creativity & Inspiration,Use when seeking a fresh perspective on a familiar topic.,9
CREATIVE COURAGE,Creativity & Inspiration,Supports sharing creative work despite fear of judgment.,9
MUSE,Creativity & Inspiration,A poetic word for inviting inspiration.,9
EXPERIMENT,Creativity & Inspiration,Use when trying new creative approaches without pressure for perfection.,9
CRAFT,Creativity & Inspiration,Use during hands-on creative or making processes.,9
STORYTELLING,Creativity & Inspiration,Use when developing narratives for writing or presentations.,9
FRESH IDEAS,Creativity & Inspiration,Use when existing ideas feel stale.,9
CREATIVE FLOW,Creativity & Inspiration,Supports entering an immersive creative state.,9
GRATEFUL,Gratitude & Joy,A foundational word for shifting focus toward what's going well.,9
JOY,Gratitude & Joy,Use to invite lightness and happiness into the moment.,9
APPRECIATION,Gratitude & Joy,Supports noticing small positives throughout the day.,9
DELIGHT,Gratitude & Joy,Use to savor small pleasures.,9
CONTENT,Gratitude & Joy,Supports a sense of 'enoughness' in the present moment.,9
CELEBRATE,Gratitude & Joy,"Use to acknowledge wins, big or small.",9
SMILE,Gratitude & Joy,A simple word to shift mood through physical expression.,9
BLESSED,Gratitude & Joy,Use to cultivate a sense of being fortunate.,9
HAPPY,Gratitude & Joy,A direct word for shifting toward a more positive emotional state.,9
LAUGHTER,Gratitude & Joy,Use to invite humor and lightness into a moment.,9
THANKFUL,Gratitude & Joy,Supports reflection on people and circumstances you value.,9
WONDER,Gratitude & Joy,Use to bring a sense of curiosity and awe to everyday moments.,9
BRIGHT SIDE,Gratitude & Joy,Use when reframing a difficult situation.,9
SAVOR,Gratitude & Joy,Supports slowing down to enjoy a positive experience.,9
CHEERFUL,Gratitude & Joy,Use for a general mood lift during the day.,9
PLAYTIME,Gratitude & Joy,Use to invite more fun and lightness into your routine.,9
ABUNDANT JOY,Gratitude & Joy,Combines gratitude and happiness for a fuller emotional shift.,9
LIGHTHEARTED,Gratitude & Joy,Use when a situation feels heavier than it needs to be.,9
SUNSHINE,Gratitude & Joy,"A bright, simple word for mood lifting.",9
FULL HEART,Gratitude & Joy,Use to acknowledge moments of meaningful connection or joy.,9
CALM,Calm & Anxiety Relief,A foundational word for reducing anxious energy.,9
PEACE,Calm & Anxiety Relief,Use to settle racing thoughts or a tense body.,9
EASE,Calm & Anxiety Relief,Supports moving through stressful moments with less friction.,9
SLOW DOWN,Calm & Anxiety Relief,Use when feeling rushed or overstimulated.,9
GROUNDED,Calm & Anxiety Relief,Use to feel more stable during overwhelming moments.,9
BREATHE OUT,Calm & Anxiety Relief,A breath-based phrase for releasing tension.,9
SAFE SPACE,Calm & Anxiety Relief,Use to mentally create a sense of refuge.,9
STEADY BREATH,Calm & Anxiety Relief,Supports regulating breathing during anxious moments.,9
LET IT BE,Calm & Anxiety Relief,Use when trying to control an uncontrollable situation.,9
PRESENT MOMENT,Calm & Anxiety Relief,Use when anxiety is focused on the future.,9
RELAXED BODY,Calm & Anxiety Relief,Supports releasing physical tension associated with stress.,9
QUIET WORRY,Calm & Anxiety Relief,Use when intrusive worries are looping.,9
SOFT MIND,Calm & Anxiety Relief,Use to ease a hyper-alert or overstimulated mental state.,9
UNWORRIED,Calm & Anxiety Relief,A direct word for releasing a specific worry.,9
SETTLE,Calm & Anxiety Relief,Use when feeling unsettled or on edge.,9
CALM NERVES,Calm & Anxiety Relief,Use before situations that trigger nervousness.,9
INNER CALM,Calm & Anxiety Relief,A grounding phrase for emotional regulation.,9
PAUSE,Calm & Anxiety Relief,Use to create space between a trigger and your reaction.,9
RELEASE TENSION,Calm & Anxiety Relief,Use for physical tightness associated with stress.,9
SOOTHE ANXIETY,Calm & Anxiety Relief,A direct phrase for moments of acute anxiety.,9
SECURE AND SAFE,Calm & Anxiety Relief,Use to counter a sense of threat that doesn't match reality.,9
CALM STORM,Calm & Anxiety Relief,Use during chaotic or high-pressure situations.,9
STILL WATERS,Calm & Anxiety Relief,A visual phrase for inner calm amid external turbulence.,9
GENTLE REASSURANCE,Calm & Anxiety Relief,Use when seeking comfort during uncertainty.,9
BREATHING SPACE,Calm & Anxiety Relief,Use when feeling crowded by demands or people.,9
FAMILY HARMONY,Family & Children,Use to support smoother dynamics within the household.,9
PATIENT PARENT,Family & Children,Use during challenging moments with children.,9
BONDING,Family & Children,Supports closeness during family time.,9
SAFE CHILDHOOD,Family & Children,Use to support a sense of security for children.,9
LISTEN TO ME,Family & Children,Use when wanting to feel heard within family conversations.,9
FAMILY SUPPORT,Family & Children,Use during times when the family needs to pull together.,9
CALM HOUSEHOLD,Family & Children,Supports a peaceful home environment.,9
GROWING UP WELL,Family & Children,A broad phrase for supporting healthy child development.,9
QUALITY TIME,Family & Children,Use to prioritize meaningful family interactions.,9
UNDERSTANDING PARENT,Family & Children,Supports empathy during parent-child conflicts.,9
FAMILY GRATITUDE,Family & Children,Use to focus on appreciation within family relationships.,9
PATIENCE WITH KIDS,Family & Children,Use during repetitive or tiring caregiving moments.,9
SHARED LAUGHTER,Family & Children,Use to bring lightness into family interactions.,9
FAMILY HEALTH,Family & Children,A general phrase for the wellbeing of the household.,9
HOME PEACE,Family & Children,"Use to support a calm, low-conflict home atmosphere.",9
SAFE TRAVELS,Travel & Daily Ease,"Use before any journey, short or long.",9
SMOOTH JOURNEY,Travel & Daily Ease,Use to support ease during commutes or trips.,9
ON TIME,Travel & Daily Ease,Use when timing matters for travel or appointments.,9
EASY PARKING,Travel & Daily Ease,"A light, practical phrase for daily errands.",9
LIGHT TRAFFIC,Travel & Daily Ease,Use before driving during busy periods.,9
FOUND IT,Travel & Daily Ease,Use when searching for a lost item.,9
EASY MORNING,Travel & Daily Ease,Use to support a smooth start to the day.,9
GOOD WEATHER,Travel & Daily Ease,Use before outdoor plans or travel.,9
EFFICIENT ERRANDS,Travel & Daily Ease,Use when running multiple tasks in limited time.,9
STRESS-FREE COMMUTE,Travel & Daily Ease,Use during daily travel to work or school.,9
FREEDOM FROM HABIT,Habits & Recovery,"Use when working to change a repetitive, unwanted behavior.",9
ONE DAY AT A TIME,Habits & Recovery,A grounding phrase for recovery-focused intentions.,9
STRONGER THAN THE URGE,Habits & Recovery,Use during moments of craving or temptation.,9
NEW PATTERN,Habits & Recovery,Supports building a replacement habit.,9
CLEAN START,Habits & Recovery,Use when beginning a recovery journey or habit change.,9
WILLPOWER,Habits & Recovery,Use during moments requiring extra self-control.,9
BREAK THE CYCLE,Habits & Recovery,Use when patterns feel repetitive and hard to shift.,9
HEALTHY HABIT,Habits & Recovery,A general word for reinforcing positive routines.,9
ACCOUNTABILITY PARTNER,Habits & Recovery,Use when working on goals with the support of others.,9
PROGRESS,Habits & Recovery,Supports recognizing small steps forward in recovery or habit change.,9
CALM CRAVING,Habits & Recovery,Use during moments of strong urges.,9
RESET,Habits & Recovery,Use after a setback to support getting back on track.,9
SUPPORTED RECOVERY,Habits & Recovery,A phrase for feeling less alone in a recovery process.,9
HEALTHY BOUNDARIES,Habits & Recovery,Use when avoiding triggering people or environments.,9
STRENGTH TO CHOOSE,Habits & Recovery,Use in the moment of decision around a habit.,9
AMETHYST,Crystals as Switchwords,"Associated with calm, spiritual connection, and easing stress.",9
CITRINE,Crystals as Switchwords,"Associated with mental clarity, confidence, and financial focus.",9
ROSE QUARTZ,Crystals as Switchwords,"Associated with self-love, compassion, and gentle emotional healing.",9
CLEAR QUARTZ,Crystals as Switchwords,"Associated with clarity, amplification of intention, and focus.",9
BLACK TOURMALINE,Crystals as Switchwords,Associated with grounding and protective energy.,9
AMAZONITE,Crystals as Switchwords,Associated with calm communication and self-expression.,9
CARNELIAN,Crystals as Switchwords,"Associated with courage, vitality, and motivation.",9
MOONSTONE,Crystals as Switchwords,"Associated with intuition, new beginnings, and emotional balance.",9
LAPIS LAZULI,Crystals as Switchwords,"Associated with insight, truth, and communication.",9
TIGER'S EYE,Crystals as Switchwords,"Associated with confidence, willpower, and grounded action.",9
AQUAMARINE,Crystals as Switchwords,"Associated with calm, clear communication and soothing emotions.",9
MALACHITE,Crystals as Switchwords,Associated with transformation and emotional release.,9
PYRITE,Crystals as Switchwords,"Associated with abundance, willpower, and protection.",9
SELENITE,Crystals as Switchwords,Associated with mental clarity and a sense of peace.,9
GARNET,Crystals as Switchwords,"Associated with vitality, passion, and grounding energy.",9
BLUE SAPPHIRE,Crystals as Switchwords,"Associated with insight, focus, and calm communication.",9
JADE,Crystals as Switchwords,"Associated with harmony, balance, and gentle prosperity.",9
OBSIDIAN,Crystals as Switchwords,Associated with grounding and releasing negative patterns.,9
OPAL,Crystals as Switchwords,Associated with emotional expression and inspiration.,9
TURQUOISE,Crystals as Switchwords,"Associated with protection, communication, and calm.",9
RESCUE REMEDY,Bach Flower Remedies as Switchwords,Associated with calming acute stress or shock.,9
MIMULUS,Bach Flower Remedies as Switchwords,Associated with easing everyday fears and shyness.,9
ASPEN,Bach Flower Remedies as Switchwords,"Associated with easing vague, unexplained anxiety.",9
CHERRY PLUM,Bach Flower Remedies as Switchwords,Associated with regaining composure when feeling overwhelmed.,9
WHITE CHESTNUT,Bach Flower Remedies as Switchwords,"Associated with quieting repetitive, looping thoughts.",9
OLIVE,Bach Flower Remedies as Switchwords,Associated with restoring energy after exhaustion.,9
WALNUT,Bach Flower Remedies as Switchwords,Associated with adapting to change and transitions.,9
HORNBEAM,Bach Flower Remedies as Switchwords,Associated with easing mental fatigue and procrastination.,9
GORSE,Bach Flower Remedies as Switchwords,Associated with renewing hope during discouragement.,9
CRAB APPLE,Bach Flower Remedies as Switchwords,Associated with self-acceptance and releasing self-criticism.,9
CENTAURY,Bach Flower Remedies as Switchwords,Associated with healthy boundaries and assertiveness.,9
HOLLY,Bach Flower Remedies as Switchwords,"Associated with softening anger, jealousy, and irritability.",9
HONEYSUCKLE,Bach Flower Remedies as Switchwords,Associated with releasing attachment to the past.,9
AGRIMONY,Bach Flower Remedies as Switchwords,Associated with easing hidden worry behind a cheerful exterior.,9
CHICORY,Bach Flower Remedies as Switchwords,Associated with healthier giving without needing approval.,9
CHESTNUT BUD,Bach Flower Remedies as Switchwords,Associated with learning from repeated mistakes.,9
BEECH,Bach Flower Remedies as Switchwords,Associated with increasing tolerance and patience with others.,9
CLEMATIS,Bach Flower Remedies as Switchwords,Associated with staying present rather than daydreaming.,9
VERVAIN,Bach Flower Remedies as Switchwords,Associated with calming over-enthusiasm and tension.,9
WILD ROSE,Bach Flower Remedies as Switchwords,Associated with renewing motivation and interest in life.,9
ARCHANGEL MICHAEL,Archangels as Switchwords,"Associated with protection, courage, and removing negativity.",9
ARCHANGEL RAPHAEL,Archangels as Switchwords,"Associated with healing of mind, body, and spirit.",9
ARCHANGEL GABRIEL,Archangels as Switchwords,"Associated with clarity, communication, and creative inspiration.",9
ARCHANGEL URIEL,Archangels as Switchwords,"Associated with wisdom, insight, and calm clarity.",9
ARCHANGEL CHAMUEL,Archangels as Switchwords,Associated with finding peace and harmony in relationships.,9
ARCHANGEL JOPHIEL,Archangels as Switchwords,"Associated with positivity, beauty, and shifting perspective.",9
ARCHANGEL ARIEL,Archangels as Switchwords,Associated with connection to nature and gentle strength.,9
ARCHANGEL AZRAEL,Archangels as Switchwords,Associated with comfort during grief and transitions.,9
ARCHANGEL HANIEL,Archangels as Switchwords,Associated with intuition and gentle inner guidance.,9
ARCHANGEL RAZIEL,Archangels as Switchwords,Associated with insight and a sense of calm understanding.,9
ARCHANGEL METATRON,Archangels as Switchwords,Associated with releasing old patterns and finding focus.,9
ARCHANGEL ZADKIEL,Archangels as Switchwords,"Associated with memory, forgiveness, and mental clarity.",9
ARCHANGEL SANDALPHON,Archangels as Switchwords,Associated with grounding creative and musical inspiration.,9
ARCHANGEL JEREMIEL,Archangels as Switchwords,Associated with reflection and emotional clarity.,9
